=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     vehicle_classification
Instances:    20030
Attributes:   205
              [list of attributes omitted]
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 28.03 seconds

=== Predictions on test set ===

inst#,actual,predicted,error,prediction
395,5:bus_sitting,5:bus_sitting,,0.76
396,5:bus_sitting,5:bus_sitting,,0.66
397,5:bus_sitting,5:bus_sitting,,0.55
398,5:bus_sitting,5:bus_sitting,,0.9
399,5:bus_sitting,5:bus_sitting,,0.84
400,5:bus_sitting,5:bus_sitting,,0.93
401,5:bus_sitting,5:bus_sitting,,0.94
402,5:bus_sitting,5:bus_sitting,,0.88
403,5:bus_sitting,5:bus_sitting,,0.92
404,5:bus_sitting,5:bus_sitting,,0.92
405,5:bus_sitting,5:bus_sitting,,0.92
406,5:bus_sitting,5:bus_sitting,,0.94
407,5:bus_sitting,5:bus_sitting,,0.93
408,5:bus_sitting,5:bus_sitting,,0.87
409,5:bus_sitting,5:bus_sitting,,0.86
410,5:bus_sitting,5:bus_sitting,,0.82
411,5:bus_sitting,5:bus_sitting,,0.74
412,5:bus_sitting,5:bus_sitting,,0.75
413,5:bus_sitting,5:bus_sitting,,0.93
414,5:bus_sitting,5:bus_sitting,,0.94
415,5:bus_sitting,5:bus_sitting,,0.91
416,5:bus_sitting,5:bus_sitting,,0.96
417,5:bus_sitting,5:bus_sitting,,0.96
418,5:bus_sitting,5:bus_sitting,,0.98
419,5:bus_sitting,5:bus_sitting,,0.98
420,5:bus_sitting,5:bus_sitting,,1
421,5:bus_sitting,5:bus_sitting,,1
422,5:bus_sitting,5:bus_sitting,,0.88
423,5:bus_sitting,5:bus_sitting,,0.88
424,5:bus_sitting,5:bus_sitting,,0.89
425,5:bus_sitting,5:bus_sitting,,0.99
426,5:bus_sitting,5:bus_sitting,,0.99
427,5:bus_sitting,5:bus_sitting,,0.94
428,5:bus_sitting,5:bus_sitting,,0.97
429,5:bus_sitting,5:bus_sitting,,0.98
430,5:bus_sitting,5:bus_sitting,,0.94
431,5:bus_sitting,5:bus_sitting,,0.84
432,5:bus_sitting,5:bus_sitting,,0.67
433,5:bus_sitting,5:bus_sitting,,0.85
434,5:bus_sitting,5:bus_sitting,,0.94
435,5:bus_sitting,5:bus_sitting,,0.93
436,5:bus_sitting,5:bus_sitting,,0.96
437,5:bus_sitting,5:bus_sitting,,0.94
438,5:bus_sitting,5:bus_sitting,,0.89
439,5:bus_sitting,5:bus_sitting,,0.9
440,5:bus_sitting,5:bus_sitting,,0.89
441,5:bus_sitting,5:bus_sitting,,0.88
442,5:bus_sitting,5:bus_sitting,,0.92
443,5:bus_sitting,5:bus_sitting,,0.93
444,5:bus_sitting,5:bus_sitting,,0.9
445,5:bus_sitting,5:bus_sitting,,0.91
446,5:bus_sitting,5:bus_sitting,,0.91
447,5:bus_sitting,5:bus_sitting,,0.87
448,5:bus_sitting,5:bus_sitting,,0.75
449,5:bus_sitting,5:bus_sitting,,0.88
450,5:bus_sitting,5:bus_sitting,,0.63
451,5:bus_sitting,5:bus_sitting,,0.88
452,5:bus_sitting,5:bus_sitting,,0.97
453,5:bus_sitting,5:bus_sitting,,0.89
454,5:bus_sitting,5:bus_sitting,,0.95
455,5:bus_sitting,5:bus_sitting,,0.99
456,5:bus_sitting,5:bus_sitting,,0.99
457,5:bus_sitting,5:bus_sitting,,0.99
458,5:bus_sitting,5:bus_sitting,,0.99
459,5:bus_sitting,5:bus_sitting,,0.98
460,5:bus_sitting,5:bus_sitting,,0.99
461,5:bus_sitting,5:bus_sitting,,0.99
462,5:bus_sitting,5:bus_sitting,,0.98
463,5:bus_sitting,5:bus_sitting,,0.96
464,5:bus_sitting,5:bus_sitting,,0.98
465,5:bus_sitting,5:bus_sitting,,0.96
466,5:bus_sitting,5:bus_sitting,,0.98
467,5:bus_sitting,5:bus_sitting,,0.98
468,5:bus_sitting,5:bus_sitting,,0.96
469,5:bus_sitting,5:bus_sitting,,0.99
470,5:bus_sitting,5:bus_sitting,,0.97
471,5:bus_sitting,5:bus_sitting,,0.98
472,5:bus_sitting,5:bus_sitting,,0.98
473,5:bus_sitting,5:bus_sitting,,0.98
474,5:bus_sitting,5:bus_sitting,,0.93
475,5:bus_sitting,5:bus_sitting,,0.98
476,5:bus_sitting,5:bus_sitting,,0.95
477,5:bus_sitting,5:bus_sitting,,0.95
478,5:bus_sitting,5:bus_sitting,,0.93
479,5:bus_sitting,5:bus_sitting,,0.93
480,5:bus_sitting,5:bus_sitting,,0.92
481,5:bus_sitting,5:bus_sitting,,0.98
482,5:bus_sitting,5:bus_sitting,,0.94
483,5:bus_sitting,5:bus_sitting,,0.98
484,5:bus_sitting,5:bus_sitting,,0.99
485,5:bus_sitting,5:bus_sitting,,0.94
486,5:bus_sitting,5:bus_sitting,,0.93
487,5:bus_sitting,5:bus_sitting,,0.95
488,5:bus_sitting,5:bus_sitting,,0.97
489,5:bus_sitting,5:bus_sitting,,0.97
490,5:bus_sitting,5:bus_sitting,,0.99
491,5:bus_sitting,5:bus_sitting,,0.98
492,5:bus_sitting,5:bus_sitting,,0.98
493,5:bus_sitting,5:bus_sitting,,0.95
494,5:bus_sitting,5:bus_sitting,,0.95
495,5:bus_sitting,5:bus_sitting,,0.92
496,5:bus_sitting,5:bus_sitting,,0.89
497,5:bus_sitting,5:bus_sitting,,0.95
498,5:bus_sitting,5:bus_sitting,,0.92
499,5:bus_sitting,5:bus_sitting,,0.95
500,5:bus_sitting,5:bus_sitting,,0.94
501,5:bus_sitting,5:bus_sitting,,0.92
502,5:bus_sitting,5:bus_sitting,,0.91
503,5:bus_sitting,5:bus_sitting,,0.96
504,5:bus_sitting,5:bus_sitting,,0.99
505,5:bus_sitting,5:bus_sitting,,1
506,5:bus_sitting,5:bus_sitting,,1
507,5:bus_sitting,5:bus_sitting,,0.97
508,5:bus_sitting,5:bus_sitting,,0.98
509,5:bus_sitting,5:bus_sitting,,1
510,5:bus_sitting,5:bus_sitting,,0.99
511,5:bus_sitting,5:bus_sitting,,0.97
512,5:bus_sitting,5:bus_sitting,,0.96
513,5:bus_sitting,5:bus_sitting,,0.98
514,5:bus_sitting,5:bus_sitting,,0.95
515,5:bus_sitting,5:bus_sitting,,0.98
516,5:bus_sitting,5:bus_sitting,,0.96
